total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,product_id
2,0,2,p504322
1,0,1,p420652
8,6,2,p420652
1,0,1,p420652
2,0,2,p420652
9,5,4,p420652
1,1,0,p420652
11,3,8,p420652
2,0,2,p420652
3,0,3,p420652
1,0,1,p420652
2,0,2,p420652
1,0,1,p420652
5,0,5,p420652
2,0,2,p420652
3,0,3,p420652
1,0,1,p420652
1,1,0,p420652
5,1,4,p420652
1,0,1,p420652
1,0,1,p420652
2,0,2,p420652
2,1,1,p420652
2,1,1,p420652
3,0,3,p420652
1,0,1,p420652
1,0,1,p420652
1,1,0,p420652
4,0,4,p420652
1,0,1,p420652
2,0,2,p420652
1,1,0,p420652
3,1,2,p420652
3,0,3,p420652
2,1,1,p420652
2,1,1,p420652
1,0,1,p420652
1,0,1,p420652
1,1,0,p420652
1,0,1,p420652
1,0,1,p420652
1,0,1,p420652
1,0,1,p420652
1,0,1,p420652
1,0,1,p420652
1,0,1,p420652
4,1,3,p420652
1,1,0,p420652
1,0,1,p420652
1,0,1,p420652
1,0,1,p420652
1,0,1,p420652
4,0,4,p420652
4,2,2,p420652
1,1,0,p420652
1,0,1,p420652
1,1,0,p420652
5,1,4,p420652
8,5,3,p420652
2,1,1,p420652
4,1,3,p420652
4,2,2,p420652
2,0,2,p420652
6,1,5,p420652
6,1,5,p420652
2,0,2,p420652
3,1,2,p420652
1,0,1,p420652
4,0,4,p420652
1,1,0,p420652
1,0,1,p420652
1,0,1,p420652
1,1,0,p420652
2,0,2,p420652
2,1,1,p420652
2,0,2,p420652
2,0,2,p420652
1,0,1,p420652
2,0,2,p420652
2,1,1,p420652
3,1,2,p420652
2,0,2,p420652
2,1,1,p420652
2,0,2,p420652
2,0,2,p420652
1,0,1,p420652
4,1,3,p420652
4,0,4,p420652
4,2,2,p420652
2,0,2,p420652
1,1,0,p420652
3,0,3,p420652
1,0,1,p420652
1,0,1,p420652
3,0,3,p420652
4,4,0,p420652
1,0,1,p420652
2,0,2,p420652
5,0,5,p420652
4,2,2,p420652
2,0,2,p420652
2,0,2,p420652
16,8,8,p420652
4,0,4,p420652
4,0,4,p420652
2,1,1,p420652
1,0,1,p420652
18,5,13,p420652
1,0,1,p420652
1,0,1,p420652
2,0,2,p420652
1,0,1,p420652
1,0,1,p420652
1,0,1,p420652
8,2,6,p420652
7,2,5,p420652
4,0,4,p420652
5,2,3,p420652
2,0,2,p420652
3,1,2,p420652
4,1,3,p420652
4,0,4,p420652
2,0,2,p420652
3,0,3,p420652
2,0,2,p420652
9,2,7,p420652
3,1,2,p420652
2,0,2,p420652
2,0,2,p420652
3,0,3,p420652
1,0,1,p420652
1,0,1,p420652
1,0,1,p420652
7,2,5,p420652
7,3,4,p420652
4,1,3,p420652
2,0,2,p420652
2,1,1,p420652
5,3,2,p420652
1,0,1,p420652
1,0,1,p420652
5,0,5,p420652
2,0,2,p420652
1,0,1,p420652
2,1,1,p420652
4,1,3,p420652
2,1,1,p420652
1,1,0,p420652
2,2,0,p420652
1,0,1,p420652
4,1,3,p420652
2,0,2,p420652
1,0,1,p420652
1,0,1,p420652
1,0,1,p420652
1,1,0,p420652
3,2,1,p420652
7,2,5,p420652
3,3,0,p420652
4,1,3,p420652
9,2,7,p420652
3,1,2,p420652
3,0,3,p420652
9,4,5,p420652
6,1,5,p420652
5,2,3,p420652
1,0,1,p420652
3,2,1,p420652
1,1,0,p420652
1,0,1,p420652
2,2,0,p420652
1,0,1,p420652
10,4,6,p420652
2,1,1,p420652
1,0,1,p420652
3,0,3,p420652
2,0,2,p420652
3,1,2,p420652
2,0,2,p420652
1,0,1,p420652
1,1,0,p420652
3,0,3,p420652
1,0,1,p420652
1,0,1,p420652
17,6,11,p420652
1,0,1,p420652
5,1,4,p420652
1,0,1,p420652
3,1,2,p420652
1,0,1,p420652
1,0,1,p420652
2,1,1,p420652
6,0,6,p420652
5,2,3,p420652
2,0,2,p420652
4,0,4,p420652
3,0,3,p420652
2,0,2,p420652
1,0,1,p420652
1,0,1,p420652
1,0,1,p420652
2,0,2,p420652
2,0,2,p420652
1,0,1,p420652
2,0,2,p420652
2,0,2,p420652
2,0,2,p420652
2,1,1,p420652
2,0,2,p420652
2,1,1,p420652
